Dataset,Model,Variant,Accuracy
PrOntoQA,Gemma,LM-greedy,40.0
PrOntoQA,Gemma,LM-greedy+SR,40.8
PrOntoQA,Gemma,LMBeam,47.0
PrOntoQA,Gemma,LMBeam+SR,93.2
PrOntoQA,Gemma,POSS-LM,94.0
PrOntoQA,LLaMA,LM-greedy,24.4
PrOntoQA,LLaMA,LM-greedy+SR,25.6
PrOntoQA,LLaMA,LMBeam,46.8
PrOntoQA,LLaMA,LMBeam+SR,69.2
PrOntoQA,LLaMA,POSS-LM,87.4
PrOntoQA,Qwen,LM-greedy,26.0
PrOntoQA,Qwen,LM-greedy+SR,26.8
PrOntoQA,Qwen,LMBeam,53.0
PrOntoQA,Qwen,LMBeam+SR,87.0
PrOntoQA,Qwen,POSS-LM,86.6
ProofWriter,Gemma,LM-greedy,51.33
ProofWriter,Gemma,LM-greedy+SR,54.0
ProofWriter,Gemma,LMBeam,41.36
ProofWriter,Gemma,LMBeam+SR,67.33
ProofWriter,Gemma,POSS-LM,68.5
ProofWriter,LLaMA,LM-greedy,56.33
ProofWriter,LLaMA,LM-greedy+SR,66.67
ProofWriter,LLaMA,LMBeam,39.2
ProofWriter,LLaMA,LMBeam+SR,53.67
ProofWriter,LLaMA,POSS-LM,66.17
ProofWriter,Qwen,LM-greedy,60.67
ProofWriter,Qwen,LM-greedy+SR,62.67
ProofWriter,Qwen,LMBeam,37.35
ProofWriter,Qwen,LMBeam+SR,66.0
ProofWriter,Qwen,POSS-LM,67.33
FOLIO,Gemma,LM-greedy,44.55
FOLIO,Gemma,LM-greedy+SR,44.55
FOLIO,Gemma,LMBeam,29.1
FOLIO,Gemma,LMBeam+SR,49.26
FOLIO,Gemma,POSS-LM,51.72
FOLIO,LLaMA,LM-greedy,43.56
FOLIO,LLaMA,LM-greedy+SR,43.56
FOLIO,LLaMA,LMBeam,24.63
FOLIO,LLaMA,LMBeam+SR,50.74
FOLIO,LLaMA,POSS-LM,49.75
FOLIO,Qwen,LM-greedy,46.53
FOLIO,Qwen,LM-greedy+SR,49.5
FOLIO,Qwen,LMBeam,26.12
FOLIO,Qwen,LMBeam+SR,56.65
FOLIO,Qwen,POSS-LM,51.23
